"Time (s)","CO2 Concentration (ppm)"
"8.1","1251"
"8.15","1251"
"8.2","1879"
"8.25","1878"
"8.3","1878"
"8.35","1067"
"8.4","1067"
"8.45","562"
"8.5","278"
"8.55","278"
"8.6","978"
"8.65","978"
"8.7","551"
"8.75","776"
"8.8","776"
"8.85","1454"
"8.9","663"
"8.95","663"
"9","8"
"9.05","8"
"9.1","359"
"9.15","487"
"9.2","487"
"9.25","1880"
"9.3","1880"
"9.35","909"
"9.4","1651"
"9.45","1651"
"9.5","1589"
"9.55","1589"
"9.6","1936"
"9.65","1028"
"9.7","1028"
"9.75","1089"
"9.8","1089"
"9.85","1463"
"9.9","1321"
"9.95","1321"
"10","959"
"10.05","959"
"10.1","632"
"10.15","1272"
"10.2","1272"
"10.25","521"
"10.3","521"
"10.35","196"
"10.4","1144"
"10.45","1144"
"10.5","1080"
"10.55","800"
"10.6","800"
"10.65","583"
"10.7","583"
"10.75","561"
"10.8","1381"
"10.85","1381"
"10.9","1869"
"10.95","1869"
"11","1923"
"11.05","1243"
"11.1","1243"
"11.15","610"
"11.2","610"
"11.25","1519"
"11.3","1434"
"11.35","93"
"11.4","93"
"11.45","93"
"11.5","468"
"11.55","793"
"11.6","793"
"11.65","793"
"11.7","341"
"11.75","1120"
"11.8","1946"
"11.85","1946"
"11.9","1946"
"11.95","1736"
"12","1736"
"12.05","1553"
"12.1","257"
"12.15","257"
"12.2","1258"
"12.25","1875"
"12.3","1875"
"12.35","1276"
"12.4","1276"
"12.45","1484"
"12.5","859"
"12.55","859"
"12.6","172"
"12.65","172"
"12.7","1292"
"12.75","1292"
"12.8","192"
"12.85","192"
"12.9","9"
"12.95","9"
"13","531"
"13.05","531"
"13.1","1816"
"13.15","1816"
"13.2","537"
"13.25","537"
"13.3","1412"
"13.35","1412"
"13.4","877"
"13.45","877"
"13.5","1364"
"13.55","1364"
"13.6","407"
"13.65","407"
"13.7","753"
"13.75","753"
"13.8","753"
"13.85","1929"
"13.9","1491"
"13.95","1491"
"14","526"
"14.05","526"
"14.1","951"
"14.15","951"
"14.2","1962"
"14.25","1344"
"14.3","1288"
"14.35","1288"
"14.4","1838"
"14.45","1838"
"14.5","1806"
"14.55","1806"
"14.6","1488"
"14.65","416"
"14.7","416"
"14.75","1120"
"14.8","1977"
"14.85","1977"
"14.9","1063"
"14.95","1063"
"15","1679"
"15.05","1679"
"15.1","953"
"15.15","953"
"15.2","1531"
"15.25","1531"
"15.3","234"
"15.35","234"
"15.4","1279"
"15.45","1279"
"15.5","1037"
"15.55","1037"
"15.6","1037"
"15.65","184"
"15.7","93"
"15.75","93"
"15.8","194"
"15.85","194"
"15.9","1682"
"15.95","1682"
"16","1585"
"16.05","1585"
"16.1","912"
"16.15","912"
"16.2","585"
"16.25","585"
"16.3","1686"
"16.35","1686"
"16.4","428"
"16.45","428"
"16.5","489"
"16.55","489"
"16.6","595"
"16.65","595"
"16.7","1774"
"16.75","1774"
"16.8","626"
"16.85","626"
"16.9","375"
"16.95","375"
"17","720"
"17.05","720"
"17.1","411"
"17.15","1999"
"17.2","1999"
"17.25","1754"
"17.3","1754"
"17.35","662"
"17.4","662"
"17.45","571"
"17.5","571"
"17.55","560"
"17.6","560"
"17.65","768"
"17.7","1347"
"17.75","1347"
"17.8","1143"
"17.85","1143"
"17.9","537"
"17.95","537"
"18","1949"
"18.05","1949"
"18.1","1183"
"18.15","1183"
"18.2","1922"
"18.25","1922"
"18.3","202"
"18.35","202"
"18.4","980"
"18.45","980"
"18.5","1112"
"18.55","1112"
"18.6","919"
"18.65","919"
"18.7","1439"
"18.75","1439"
"18.8","520"
"18.85","520"
"18.9","1980"
"18.95","1980"
"19","436"
"19.05","436"
"19.1","480"
"19.15","480"
"19.2","781"
"19.25","781"
"19.3","651"
"19.35","651"
"19.4","1555"
"19.45","1555"
"19.5","441"
"19.55","441"
"19.6","1729"
"19.65","1729"
"19.7","1313"
"19.75","1313"
"19.8","1711"
"19.85","1711"
"19.9","1616"
"19.95","1616"
"20","188"
"20.05","188"
"20.1","188"
"20.15","188"
"20.2","1782"
"20.25","1782"
"20.3","819"
"20.35","819"
"20.4","542"
"20.45","542"
"20.5","1983"
"20.55","1983"
"20.6","951"
"20.65","951"
"20.7","1299"
"20.75","1299"
"20.8","1503"
"20.85","1503"
"20.9","264"
"20.95","264"
"21","755"
"21.05","755"
"21.1","1129"
"21.15","1129"
"21.2","890"
"21.25","890"
"21.3","1585"
"21.35","1585"
"21.4","1476"
"21.45","1476"
"21.5","832"
"21.55","832"
"21.6","142"
"21.65","142"
"21.7","704"
"21.75","704"
"21.8","1558"
"21.85","1558"
"21.9","1936"
"21.95","1936"
"22","1526"
"22.05","1526"
"22.1","341"
"22.15","341"
"22.2","727"
"22.25","727"
"22.3","804"
"22.35","804"
"22.4","258"
"22.45","258"
"22.5","965"
"22.55","965"
"22.6","1624"
"22.65","1624"
"22.7","740"
"22.75","740"
"22.8","615"
"22.85","615"
"22.9","1796"
"22.95","1796"
"23","238"
"23.05","238"
"23.1","1801"
"23.15","1801"
"23.2","1424"
"23.25","1424"
"23.3","286"
"23.35","286"
"23.4","1261"
"23.45","1261"
"23.5","220"
"23.55","220"
"23.6","1648"
"23.65","1648"
"23.7","1273"
"23.75","1273"
"23.8","979"
"23.85","979"
"23.9","1307"
"23.95","1307"
"24","1308"
"24.05","1308"
"24.1","1026"
"24.15","1026"
"24.2","1518"
"24.25","1518"
"24.3","723"
"24.35","723"
"24.4","675"
"24.45","675"
"24.5","750"
"24.55","750"
"24.6","83"
"24.65","83"
"24.7","178"
"24.75","178"
"24.8","470"
"24.85","470"
"24.9","1656"
"24.95","1656"
"25","656"
"25.05","656"
"25.1","724"
"25.15","724"
"25.2","979"
"25.25","979"
"25.3","1753"
"25.35","1753"
"25.4","1597"
"25.45","1597"
"25.5","948"
"25.55","948"
"25.6","613"
"25.65","613"
"25.7","1868"
"25.75","1868"
"25.8","425"
"25.85","425"
"25.9","10"
"25.95","10"
"26","392"
"26.05","392"
"26.1","1160"
"26.15","1160"
"26.2","1323"
"26.25","1323"
"26.3","423"
"26.35","423"
"26.4","1222"
"26.45","1222"
"26.5","183"
"26.55","183"
"26.6","896"
"26.65","896"
"26.7","1321"
"26.75","1321"
"26.8","1972"
"26.85","1972"
"26.9","1194"
"26.95","1194"
"27","212"
"27.05","212"
"27.1","593"
"27.15","593"
"27.2","981"
"27.25","981"
"27.3","1377"
"27.35","1377"
"27.4","1815"
"27.45","1815"
"27.5","973"
"27.55","973"
"27.6","261"
"27.65","261"
"27.7","430"
"27.75","430"
"27.8","659"
"27.85","659"
"27.9","822"
"27.95","822"
"28","227"
"28.05","227"
"28.1","500"
"28.15","500"
"28.2","1077"
"28.25","1077"
"28.3","59"
"28.35","59"
"28.4","1084"
"28.45","1084"
"28.5","695"
"28.55","695"
"28.6","1117"
"28.65","1117"
"28.7","587"
"28.75","587"
"28.8","716"
"28.85","716"
"28.9","440"
"28.95","440"
"29","719"
"29.05","719"
"29.1","1752"
"29.15","1752"
"29.2","363"
"29.25","363"
"29.3","1549"
"29.35","1549"
"29.4","88"
"29.45","88"
"29.5","1345"
"29.55","1345"
"29.6","1494"
"29.65","1494"
"29.7","946"
"29.75","946"
"29.8","474"
"29.85","474"
"29.9","864"
"29.95","864"
"30","59"
"30.05","59"
"30.1","22"
"30.15","22"
"30.2","1392"
"30.25","1392"
"30.3","833"
"30.35","833"
"30.4","374"
"30.45","374"
"30.5","1186"
"30.55","1186"
"30.6","1185"
"30.65","1185"
"30.7","1056"
"30.75","1056"
"30.8","581"
"30.85","581"
"30.9","1452"
"30.95","1452"
"31","1547"
"31.05","1547"
"31.1","1656"
"31.15","1656"
"31.2","151"
"31.25","151"
"31.3","1093"
"31.35","1093"
"31.4","1173"
"31.45","1173"
"31.5","26"
"31.55","26"
"31.6","1772"
"31.65","1772"
"31.7","1537"
"31.75","1537"
"31.8","88"
"31.85","88"
"31.9","762"
"31.95","762"
"32","1674"
"32.05","1674"
"32.1","579"
"32.15","579"
"32.2","216"
"32.25","216"
"32.3","1860"
"32.35","1860"
"32.4","1533"
"32.45","1533"
"32.5","1806"
"32.55","1806"
"32.6","1896"
"32.65","1896"
"32.7","833"
"32.75","833"
"32.8","114"
"32.85","114"
"32.9","638"
"32.95","638"
"33","842"
"33.05","842"
"33.1","1612"
"33.15","1612"
"33.2","438"
"33.25","438"
"33.3","274"
"33.35","274"
"33.4","1782"
"33.45","1782"
"33.5","1903"
"33.55","1903"
"33.6","342"
"33.65","342"
"33.7","735"
"33.75","735"
"33.8","1580"
"33.85","1580"
"33.9","43"
"33.95","43"
"34","620"
"34.05","620"
"34.1","883"
"34.15","883"
"34.2","1305"
"34.25","1305"
"34.3","1595"
"34.35","1595"
"34.4","606"
"34.45","606"
"34.5","1122"
"34.55","1122"
"34.6","41"
"34.65","41"
"34.7","41"
"34.75","41"
"34.8","1154"
"34.85","1154"
"34.9","1139"
"34.95","1139"
"35","68"
"35.05","68"
"35.1","1387"
"35.15","1387"
"35.2","1568"
"35.25","1568"
"35.3","1501"
"35.35","1501"
"35.4","1572"
"35.45","1572"
"35.5","988"
"35.55","988"
"35.6","607"
"35.65","607"
"35.7","1245"
"35.75","1245"
"35.8","470"
"35.85","470"
"35.9","59"
"35.95","59"
"36","1177"
"36.05","1177"
"36.1","1777"
"36.15","1777"
"36.2","1133"
"36.25","1133"
"36.3","953"
"36.35","953"
"36.4","1082"
"36.45","1082"
"36.5","488"
"36.55","488"
"36.6","923"
"36.65","923"
"36.7","923"
"36.75","923"
"36.8","1895"
"36.85","1895"
"36.9","836"
"36.95","836"
"37","1942"
"37.05","1942"
"37.1","1294"
"37.15","1294"
"37.2","1983"
"37.25","1983"
"37.3","1938"
"37.35","1938"
"37.4","1832"
"37.45","1832"
"37.5","1357"
"37.55","1357"
"37.6","1641"
"37.65","1641"
"37.7","494"
"37.75","494"
"37.8","1501"
"37.85","1501"
"37.9","232"
"37.95","232"
"38","776"
"38.05","776"
"38.1","1486"
"38.15","1486"
"38.2","1821"
"38.25","1821"
"38.3","409"
"38.35","409"
"38.4","1761"
"38.45","1761"
"38.5","803"
"38.55","803"
"38.6","1683"
"38.65","1683"
"38.7","1708"
"38.75","1708"
"38.8","1172"
"38.85","1172"
"38.9","1480"
"38.95","1480"
"39","1511"
"39.05","1511"
"39.1","307"
"39.15","307"
"39.2","1733"
"39.25","1733"
"39.3","442"
"39.35","442"
"39.4","1303"
"39.45","1303"
"39.5","569"
"39.55","569"
"39.6","1513"
"39.65","1513"
"39.7","888"
"39.75","888"
"39.8","377"
"39.85","377"
"39.9","1900"
"39.95","1900"
"40","1943"
"40.05","1943"
"40.1","1467"
"40.15","1467"
"40.2","1617"
"40.25","1617"
"40.3","1460"
"40.35","1460"
"40.4","411"
"40.45","411"
"40.5","308"
"40.55","308"
"40.6","1297"
"40.65","1297"
"40.7","167"
"40.75","167"
"40.8","1799"
"40.85","1799"
"40.9","1837"
"40.95","1837"
"41","1966"
"41.05","1966"
"41.1","279"
"41.15","279"
"41.2","1577"
"41.25","1577"
"41.3","1621"
"41.35","1621"
"41.4","211"
"41.45","211"
"41.5","282"
"41.55","282"
"41.6","20"
"41.65","20"
"41.7","1777"
"41.75","1777"
"41.8","1416"
"41.85","1416"
"41.9","1638"
"41.95","1638"
"42","1295"
"42.05","1295"
"42.1","1800"
"42.15","1800"
"42.2","10"
"42.25","10"
"42.3","647"
"42.35","647"
"42.4","415"
"42.45","415"
"42.5","487"
"42.55","487"
"42.6","209"
"42.65","209"
"42.7","1270"
"42.75","1270"
"42.8","1938"
"42.85","1938"
"42.9","816"
"42.95","816"
"43","29"
"43.05","29"
"43.1","521"
"43.15","521"
"43.2","1136"
"43.25","1136"
"43.3","975"
"43.35","975"
"43.4","172"
"43.45","172"
"43.5","222"
"43.55","222"
"43.6","1293"
"43.65","1293"
"43.7","774"
"43.75","774"
"43.8","1002"
"43.85","1002"
"43.9","1992"
"43.95","1992"
"44","933"
"44.05","933"
"44.1","1593"
"44.15","1593"
"44.2","1207"
"44.25","1207"
"44.3","1802"
"44.35","1802"
"44.4","1087"
"44.45","1087"
"44.5","1867"
"44.55","1867"
"44.6","1437"
"44.65","1437"
"44.7","1341"
"44.75","1341"
"44.8","1873"
"44.85","1873"
"44.9","552"
"44.95","552"
"45","198"
"45.05","198"
"45.1","1043"
"45.15","1043"
"45.2","443"
"45.25","443"
"45.3","122"
"45.35","122"
"45.4","27"
"45.45","27"
"45.5","1842"
"45.55","1842"
"45.6","1302"
"45.65","1302"
"45.7","1252"
"45.75","1252"
"45.8","622"
"45.85","622"
"45.9","1079"
"45.95","1079"
"46","628"
"46.05","628"
"46.1","1925"
"46.15","1925"
"46.2","1515"
"46.25","1515"
"46.3","1144"
"46.35","1144"
"46.4","1239"
"46.45","1239"
"46.5","1458"
"46.55","1458"
"46.6","1452"
"46.65","1452"
"46.7","1899"
"46.75","1899"
"46.8","1213"
"46.85","1213"
"46.9","415"
"46.95","415"
"47","1788"
"47.05","1788"
"47.1","38"
"47.15","38"
"47.2","757"
"47.25","757"
"47.3","441"
"47.35","441"
"47.4","11"
"47.45","11"
"47.5","1080"
"47.55","1080"
"47.6","1401"
"47.65","1401"
"47.7","205"
"47.75","205"
"47.8","1999"
"47.85","1999"
"47.9","882"
"47.95","882"
"48","261"
"48.05","261"
"48.1","524"
"48.15","524"
"48.2","1608"
"48.25","1608"
"48.3","328"
"48.35","328"
"48.4","328"
"48.45","328"
"48.5","164"
"48.55","164"
"48.6","720"
"48.65","720"
"48.7","1967"
"48.75","1967"
"48.8","1160"
"48.85","1160"
"48.9","1600"
"48.95","1600"
"49","823"
"49.05","823"
"49.1","869"
"49.15","869"
"49.2","1320"
"49.25","1320"
"49.3","1802"
"49.35","1802"
"49.4","288"
"49.45","288"
"49.5","1503"
"49.55","1503"
"49.6","970"
"49.65","970"
"49.7","217"
"49.75","217"
"49.8","791"
"49.85","791"
"49.9","612"
"49.95","612"
"50","498"
"50.05","498"
"50.1","808"
"50.15","808"
"50.2","993"
"50.25","993"
"50.3","1268"
"50.35","1268"
"50.4","1258"
"50.45","1258"
"50.5","1583"
"50.55","1583"
"50.6","1232"
"50.65","1232"
"50.7","1626"
"50.75","1626"
"50.8","591"
"50.85","591"
"50.9","1396"
"50.95","1396"
"51","1128"
"51.05","1128"
"51.1","1069"
"51.15","1069"
"51.2","1611"
"51.25","1611"
"51.3","1399"
"51.35","1399"
"51.4","911"
"51.45","911"
"51.5","1123"
"51.55","1123"
"51.6","1937"
"51.65","1937"
"51.7","143"
"51.75","143"
"51.8","281"
"51.85","281"
"51.9","1448"
"51.95","1448"
"52","337"
"52.05","337"
"52.1","1856"
"52.15","1856"
"52.2","850"
"52.25","850"
"52.3","12"
"52.35","12"
"52.4","556"
"52.45","556"
"52.5","1376"
"52.55","1376"
"52.6","294"
"52.65","294"
"52.7","1296"
"52.75","1296"
"52.8","1003"
"52.85","1003"
"52.9","1950"
"52.95","1950"
"53","1251"
"53.05","1251"
"53.1","790"
"53.15","790"
"53.2","790"
"53.25","790"
"53.3","957"
"53.35","957"
"53.4","643"
"53.45","643"
"53.5","1488"
"53.55","1488"
"53.6","347"
"53.65","347"
"53.7","256"
"53.75","256"
"53.8","479"
"53.85","479"
"53.9","91"
"53.95","91"
"54","1633"
"54.05","1633"
"54.1","1127"
"54.15","1127"
"54.2","1235"
"54.25","1235"
"54.3","1540"
"54.35","1540"
"54.4","1831"
"54.45","1831"
"54.5","169"
"54.55","169"
"54.6","235"
"54.65","235"
"54.7","1593"
"54.75","1593"
"54.8","1303"
"54.85","1303"
"54.9","419"
"54.95","419"
"55","452"
"55.05","452"
"55.1","1183"
"55.15","1183"
"55.2","26"
"55.25","26"
"55.3","1892"
"55.35","1892"
"55.4","719"
"55.45","719"
"55.5","1432"
"55.55","1432"
"55.6","427"
"55.65","427"
"55.7","94"
"55.75","94"
"55.8","870"
"55.85","870"
"55.9","545"
"55.95","545"
"56","1697"
"56.05","1697"
"56.1","1643"
"56.15","1643"
"56.2","1302"
"56.25","1302"
"56.3","1586"
"56.35","1586"
"56.4","1615"
"56.45","1615"
"56.5","268"
"56.55","268"
"56.6","1115"
"56.65","1115"
"56.7","908"
"56.75","908"
"56.8","79"
"56.85","79"
"56.9","721"
"56.95","721"
"57","1599"
"57.05","1599"
"57.1","1704"
"57.15","1704"
"57.2","657"
"57.25","657"
"57.3","16"
"57.35","16"
"57.4","786"
"57.45","786"
"57.5","1587"
"57.55","1587"
"57.6","199"
"57.65","199"
"57.7","1653"
"57.75","1653"
"57.8","237"
"57.85","237"
"57.9","563"
"57.95","563"
"58","1190"
"58.05","1190"
"58.1","1129"
"58.15","1129"
"58.2","433"
"58.25","433"
"58.3","155"
"58.35","155"
"58.4","876"
"58.45","876"
"58.5","545"
"58.55","545"
"58.6","1413"
"58.65","1413"
"58.7","185"
"58.75","185"
"58.8","260"
"58.85","260"
"58.9","1685"
"58.95","1685"
"59","1133"
"59.05","1133"
"59.1","31"
"59.15","31"
"59.2","757"
"59.25","757"
"59.3","1220"
"59.35","1220"
"59.4","592"
"59.45","592"
"59.5","1190"
"59.55","1190"
"59.6","703"
"59.65","703"
"59.7","1063"
"59.75","1063"
"59.8","219"
"59.85","219"
"59.9","1529"
"59.95","1529"
"60","443"
"60.05","443"
"60.1","1148"
"60.15","1148"
"60.2","1761"
"60.25","1761"
"60.3","1465"
"60.35","1465"
"60.4","27"
"60.45","27"
"60.5","1693"
"60.55","1693"
"60.6","299"
"60.65","299"
"60.7","1149"
"60.75","1149"
"60.8","1846"
"60.85","1846"
"60.9","1216"
"60.95","1216"
"61","903"
"61.05","903"
"61.1","1119"
"61.15","1119"
"61.2","515"
"61.25","515"
"61.3","937"
"61.35","937"
"61.4","757"
"61.45","757"
"61.5","1385"
"61.55","1385"
"61.6","1083"
"61.65","1083"
"61.7","277"
"61.75","277"
"61.8","1598"
"61.85","1598"
"61.9","1508"
"61.95","1508"
"62","194"
"62.05","194"
"62.1","1582"
"62.15","1582"
"62.2","1433"
"62.25","1433"
"62.3","70"
"62.35","70"
"62.4","1520"
"62.45","1520"
"62.5","1833"
"62.55","1833"
"62.6","1945"
"62.65","1945"
"62.7","1584"
"62.75","1584"
"62.8","1501"
"62.85","1501"
"62.9","661"
"62.95","661"
"63","1964"
"63.05","1964"
"63.1","1823"
"63.15","1823"
"63.2","939"
"63.25","939"
"63.3","1951"
"63.35","1951"
"63.4","417"
"63.45","417"
"63.5","294"
"63.55","294"
"63.6","1380"
"63.65","1380"
"63.7","1381"
"63.75","1381"
"63.8","1720"
"63.85","1720"
"63.9","1960"
"63.95","1960"
"64","425"
"64.05","425"
"64.1","425"
"64.15","425"
"64.2","1996"
"64.25","1996"
"64.3","1489"
"64.35","1489"
"64.4","1992"
"64.45","1992"
"64.5","1627"
"64.55","1627"
"64.6","138"
"64.65","138"
"64.7","1231"
"64.75","1231"
"64.8","217"
"64.85","217"
"64.9","1290"
"64.95","1290"
"65","1284"
"65.05","1284"
"65.1","1610"
"65.15","1610"
"65.2","832"
"65.25","832"
"65.3","707"
"65.35","707"
"65.4","1507"
"65.45","1507"
"65.5","1190"
"65.55","1190"
"65.6","1238"
"65.65","1238"
"65.7","1647"
"65.75","1647"
"65.8","626"
"65.85","626"
"65.9","1098"
"65.95","1098"
"66","165"
"66.05","165"
"66.1","815"
"66.15","815"
"66.2","540"
"66.25","540"
"66.3","1812"
"66.35","1812"
"66.4","562"
"66.45","562"
"66.5","809"
"66.55","809"
"66.6","56"
"66.65","56"
"66.7","56"
"66.75","56"
"66.8","787"
"66.85","787"
"66.9","809"
"66.95","809"
"67","807"
"67.05","807"
"67.1","1952"
"67.15","1952"
"67.2","1616"
"67.25","1616"
"67.3","1312"
"67.35","1312"
"67.4","587"
"67.45","587"
"67.5","1173"
"67.55","1173"
"67.6","665"
"67.65","665"
"67.7","507"
"67.75","507"
"67.8","1606"
"67.85","1606"
"67.9","736"
"67.95","736"
"68","1197"
"68.05","1197"
"68.1","677"
"68.15","677"
"68.2","1092"
"68.25","1092"
"68.3","254"
"68.35","254"
"68.4","1796"
"68.45","1796"
"68.5","41"
"68.55","41"
"68.6","219"
"68.65","219"
"68.7","367"
"68.75","367"
"68.8","420"
"68.85","420"
"68.9","865"
"68.95","865"
"69","1230"
"69.05","1230"
"69.1","660"
"69.15","660"
"69.2","601"
"69.25","601"
"69.3","291"
"69.35","291"
"69.4","1224"
"69.45","1224"
"69.5","1376"
"69.55","1376"
"69.6","492"
"69.65","492"
"69.7","985"
"69.75","985"
"69.8","1571"
"69.85","1571"
"69.9","800"
"69.95","800"
"70","185"
"70.05","185"
"70.1","1019"
"70.15","1019"
"70.2","1463"
"70.25","1463"
"70.3","1599"
"70.35","1599"
"70.4","1713"
"70.45","1713"
"70.5","1843"
"70.55","1843"
"70.6","1315"
"70.65","1315"
"70.7","887"
"70.75","887"
"70.8","67"
"70.85","67"
"70.9","27"
"70.95","27"
"71","861"
"71.05","861"
"71.1","504"
"71.15","504"
"71.2","1811"
"71.25","1811"
"71.3","1481"
"71.35","1481"
"71.4","1510"
"71.45","1510"
"71.5","391"
"71.55","391"
"71.6","1959"
"71.65","1959"
"71.7","1007"
"71.75","1007"
"71.8","1014"
"71.85","1014"
"71.9","1863"
"71.95","1863"
"72","12"
"72.05","12"
"72.1","1448"
"72.15","1448"
"72.2","611"
"72.25","611"
"72.3","1709"
"72.35","1709"
"72.4","276"
"72.45","276"
"72.5","271"
"72.55","271"
"72.6","186"
"72.65","186"
"72.7","1877"
"72.75","1877"
"72.8","854"
"72.85","854"
"72.9","1791"
"72.95","1791"
"73","1571"
"73.05","1571"
"73.1","1221"
"73.15","1221"
"73.2","1028"
"73.25","1028"
"73.3","1631"
"73.35","1631"
"73.4","1139"
"73.45","1139"
"73.5","401"
"73.55","401"
"73.6","1993"
"73.65","1993"
"73.7","1033"
"73.75","1033"
"73.8","418"
"73.85","418"
"73.9","802"
"73.95","802"
"74","222"
"74.05","222"
"74.1","1646"
"74.15","1646"
"74.2","173"
"74.25","173"
"74.3","364"
"74.35","364"
"74.4","656"
"74.45","656"
"74.5","788"
"74.55","788"
"74.6","340"
"74.65","340"
"74.7","1681"
"74.75","1681"
"74.8","1443"
"74.85","1443"
"74.9","585"
"74.95","585"
"75","1916"
"75.05","1916"
"75.1","1875"
"75.15","1875"
"75.2","48"
"75.25","48"
"75.3","605"
"75.35","605"
"75.4","767"
"75.45","767"
"75.5","1666"
"75.55","1666"
"75.6","1297"
"75.65","1297"
"75.7","169"
"75.75","169"
"75.8","1200"
"75.85","1200"
"75.9","874"
"75.95","874"
"76","1499"
"76.05","1499"
"76.1","995"
"76.15","995"
"76.2","1798"
"76.25","1798"
"76.3","1196"
"76.35","1196"
"76.4","1771"
"76.45","1771"
"76.5","624"
"76.55","624"
"76.6","553"
"76.65","553"
"76.7","1660"
"76.75","1660"
"76.8","728"
"76.85","728"
"76.9","980"
"76.95","980"
"77","100"
"77.05","100"
"77.1","466"
"77.15","466"
"77.2","1490"
"77.25","1490"
"77.3","456"
"77.35","456"
"77.4","1196"
"77.45","1196"
"77.5","1958"
"77.55","1958"
"77.6","1889"
"77.65","1889"
"77.7","341"
"77.75","341"
"77.8","760"
"77.85","760"
"77.9","1974"
"77.95","1974"
"78","1974"
"78.05","1974"
"78.1","379"
"78.15","379"
"78.2","14"
"78.25","14"
"78.3","513"
"78.35","513"
"78.4","1536"
"78.45","1536"
"78.5","1543"
"78.55","1543"
"78.6","1733"
"78.65","1733"
"78.7","488"
"78.75","488"
"78.8","1056"
"78.85","1056"
"78.9","536"
"78.95","536"
"79","1798"
"79.05","1798"
"79.1","1276"
"79.15","1276"
"79.2","147"
"79.25","147"
"79.3","268"
"79.35","268"
"79.4","860"
"79.45","860"
"79.5","794"
"79.55","794"
"79.6","1126"
"79.65","1126"
"79.7","705"
"79.75","705"
"79.8","918"
"79.85","918"
"79.9","1610"
"79.95","1610"
"80","689"
"80.05","689"
"80.1","240"
"80.15","240"
"80.2","1423"
"80.25","1423"
"80.3","1097"
"80.35","1097"
"80.4","1572"
"80.45","1572"
"80.5","1181"
"80.55","1181"
"80.6","1668"
"80.65","1668"
"80.7","606"
"80.75","606"
"80.8","133"
"80.85","133"
"80.9","491"
"80.95","491"
"81","917"
"81.05","917"
"81.1","708"
"81.15","708"
"81.2","339"
"81.25","339"
"81.3","0"
"81.35","0"
"81.4","260"
"81.45","260"
"Time (s)","CO2 Concentration (ppm)"
"0","381"
"0.05","209"
"0.1","607"
"0.15","53"
"0.2","155"
"0.25","266"
"0.3","819"
"0.35","762"
"0.4","589"
"0.45","1480"
"0.5","1480"
"0.55","1113"
"0.6","418"
"0.65","563"
"0.7","967"
"0.75","1459"
"0.8","973"
"0.85","1231"
"0.9","533"
"0.95","1934"
"1","1549"
"1.05","1879"
"1.1","299"
"1.15","244"
"1.2","1560"
"1.25","1551"
"1.3","1274"
"1.35","12"
"1.4","1550"
"1.45","1690"
