"Time (s)","Flow Rate"
"15.65","592"
"15.7","592"
"15.75","262"
"15.8","262"
"15.85","748"
"15.9","748"
"15.95","745"
"16","745"
"16.05","763"
"16.1","763"
"16.15","621"
"16.2","621"
"16.25","557"
"16.3","557"
"16.35","254"
"16.4","254"
"16.45","566"
"16.5","566"
"16.55","191"
"16.6","191"
"16.65","324"
"16.7","324"
"16.75","199"
"16.8","199"
"16.85","451"
"16.9","451"
"16.95","783"
"17","783"
"17.05","691"
"17.1","691"
"17.15","96"
"17.2","96"
"17.25","563"
"17.3","563"
"17.35","272"
"17.4","272"
"17.45","92"
"17.5","92"
"17.55","176"
"17.6","176"
"17.65","171"
"17.7","171"
"17.75","648"
"17.8","648"
"17.85","308"
"17.9","308"
"17.95","399"
"18","399"
"18.05","696"
"18.1","696"
"18.15","318"
"18.2","318"
"18.25","548"
"18.3","548"
"18.35","746"
"18.4","746"
"18.45","435"
"18.5","435"
"18.55","119"
"18.6","119"
"18.65","178"
"18.7","178"
"18.75","204"
"18.8","204"
"18.85","435"
"18.9","435"
"18.95","275"
"19","275"
"19.05","566"
"19.1","566"
"19.15","355"
"19.2","355"
"19.25","286"
"19.3","286"
"19.35","130"
"19.4","130"
"19.45","5"
"19.5","5"
"19.55","791"
"19.6","791"
"19.65","3"
"19.7","3"
"19.75","100"
"19.8","100"
"19.85","783"
"19.9","783"
"19.95","578"
"20","578"
"20.05","605"
"20.1","605"
"20.15","114"
"20.2","114"
"20.25","419"
"20.3","419"
"20.35","58"
"20.4","58"
"20.45","308"
"20.5","308"
"20.55","197"
"20.6","197"
"20.65","445"
"20.7","445"
"20.75","421"
"20.8","421"
"20.85","573"
"20.9","573"
"20.95","438"
"21","438"
"21.05","357"
"21.1","357"
"21.15","13"
"21.2","13"
"21.25","769"
"21.3","769"
"21.35","79"
"21.4","79"
"21.45","3"
"21.5","3"
"21.55","216"
"21.6","216"
"21.65","186"
"21.7","186"
"21.75","363"
"21.8","363"
"21.85","295"
"21.9","295"
"21.95","31"
"22","31"
"22.05","136"
"22.1","136"
"22.15","381"
"22.2","381"
"22.25","67"
"22.3","67"
"22.35","115"
"22.4","115"
"22.45","681"
"22.5","681"
"22.55","594"
"22.6","594"
"22.65","256"
"22.7","256"
"22.75","658"
"22.8","658"
"22.85","201"
"22.9","201"
"22.95","272"
"23","272"
"23.05","781"
"23.1","781"
"23.15","155"
"23.2","155"
"23.25","795"
"23.3","795"
"23.35","761"
"23.4","761"
"23.45","761"
"23.5","761"
"23.55","143"
"23.6","143"
"23.65","219"
"23.7","219"
"23.75","497"
"23.8","497"
"23.85","10"
"23.9","10"
"23.95","45"
"24","45"
"24.05","699"
"24.1","699"
"24.15","265"
"24.2","265"
"24.25","316"
"24.3","316"
"24.35","715"
"24.4","715"
"24.45","552"
"24.5","552"
"24.55","459"
"24.6","459"
"24.65","586"
"24.7","586"
"24.75","203"
"24.8","203"
"24.85","198"
"24.9","198"
"24.95","261"
"25","261"
"25.05","122"
"25.1","122"
"25.15","733"
"25.2","733"
"25.25","115"
"25.3","115"
"25.35","786"
"25.4","786"
"25.45","762"
"25.5","762"
"25.55","112"
"25.6","112"
"25.65","358"
"25.7","358"
"25.75","451"
"25.8","451"
"25.85","457"
"25.9","457"
"25.95","539"
"26","539"
"26.05","657"
"26.1","657"
"26.15","584"
"26.2","584"
"26.25","51"
"26.3","51"
"26.35","523"
"26.4","523"
"26.45","523"
"26.5","523"
"26.55","787"
"26.6","787"
"26.65","694"
"26.7","694"
"26.75","445"
"26.8","445"
"26.85","778"
"26.9","778"
"26.95","686"
"27","686"
"27.05","644"
"27.1","644"
"27.15","663"
"27.2","663"
"27.25","557"
"27.3","557"
"27.35","505"
"27.4","505"
"27.45","497"
"27.5","497"
"27.55","666"
"27.6","666"
"27.65","453"
"27.7","453"
"27.75","159"
"27.8","159"
"27.85","702"
"27.9","702"
"27.95","213"
"28","213"
"28.05","581"
"28.1","581"
"28.15","706"
"28.2","706"
"28.25","158"
"28.3","158"
"28.35","63"
"28.4","63"
"28.45","508"
"28.5","508"
"28.55","704"
"28.6","704"
"28.65","33"
"28.7","33"
"28.75","624"
"28.8","624"
"28.85","18"
"28.9","18"
"28.95","380"
"29","380"
"29.05","470"
"29.1","470"
"29.15","671"
"29.2","671"
"29.25","254"
"29.3","254"
"29.35","434"
"29.4","434"
"29.45","365"
"29.5","365"
"29.55","110"
"29.6","110"
"29.65","334"
"29.7","334"
"29.75","475"
"29.8","475"
"29.85","774"
"29.9","774"
"29.95","17"
"30","17"
"30.05","412"
"30.1","412"
"30.15","84"
"30.2","84"
"30.25","287"
"30.3","287"
"30.35","430"
"30.4","430"
"30.45","243"
"30.5","243"
"30.55","726"
"30.6","726"
"30.65","96"
"30.7","96"
"30.75","124"
"30.8","124"
"30.85","780"
"30.9","780"
"30.95","677"
"31","677"
"31.05","339"
"31.1","339"
"31.15","776"
"31.2","776"
"31.25","697"
"31.3","697"
"31.35","148"
"31.4","148"
"31.45","624"
"31.5","624"
"31.55","472"
"31.6","472"
"31.65","149"
"31.7","149"
"31.75","377"
"31.8","377"
"31.85","220"
"31.9","220"
"31.95","495"
"32","495"
"32.05","123"
"32.1","123"
"32.15","175"
"32.2","175"
"32.25","582"
"32.3","582"
"32.35","505"
"32.4","505"
"32.45","420"
"32.5","420"
"32.55","94"
"32.6","94"
"32.65","651"
"32.7","651"
"32.75","371"
"32.8","371"
"32.85","302"
"32.9","302"
"32.95","486"
"33","486"
"33.05","601"
"33.1","601"
"33.15","317"
"33.2","317"
"33.25","317"
"33.3","317"
"33.35","697"
"33.4","697"
"33.45","285"
"33.5","285"
"33.55","548"
"33.6","548"
"33.65","197"
"33.7","197"
"33.75","366"
"33.8","366"
"33.85","525"
"33.9","525"
"33.95","399"
"34","399"
"34.05","472"
"34.1","472"
"34.15","755"
"34.2","755"
"34.25","470"
"34.3","470"
"34.35","519"
"34.4","519"
"34.45","379"
"34.5","379"
"34.55","530"
"34.6","530"
"34.65","445"
"34.7","445"
"34.75","15"
"34.8","15"
"34.85","278"
"34.9","278"
"34.95","779"
"35","779"
"35.05","101"
"35.1","101"
"35.15","236"
"35.2","236"
"35.25","174"
"35.3","174"
"35.35","523"
"35.4","523"
"35.45","322"
"35.5","322"
"35.55","594"
"35.6","594"
"35.65","357"
"35.7","357"
"35.75","75"
"35.8","75"
"35.85","308"
"35.9","308"
"35.95","455"
"36","455"
"36.05","361"
"36.1","361"
"36.15","314"
"36.2","314"
"36.25","694"
"36.3","694"
"36.35","55"
"36.4","55"
"36.45","9"
"36.5","9"
"36.55","434"
"36.6","434"
"36.65","550"
"36.7","550"
"36.75","687"
"36.8","687"
"36.85","205"
"36.9","205"
"36.95","220"
"37","220"
"37.05","670"
"37.1","670"
"37.15","777"
"37.2","777"
"37.25","590"
"37.3","590"
"37.35","272"
"37.4","272"
"37.45","175"
"37.5","175"
"37.55","595"
"37.6","595"
"37.65","595"
"37.7","595"
"37.75","151"
"37.8","151"
"37.85","796"
"37.9","796"
"37.95","379"
"38","379"
"38.05","53"
"38.1","53"
"38.15","734"
"38.2","734"
"38.25","94"
"38.3","94"
"38.35","306"
"38.4","306"
"38.45","713"
"38.5","713"
"38.55","713"
"38.6","713"
"38.65","140"
"38.7","140"
"38.75","763"
"38.8","763"
"38.85","88"
"38.9","88"
"38.95","276"
"39","276"
"39.05","29"
"39.1","29"
"39.15","481"
"39.2","481"
"39.25","748"
"39.3","748"
"39.35","105"
"39.4","105"
"39.45","163"
"39.5","163"
"39.55","745"
"39.6","745"
"39.65","337"
"39.7","337"
"39.75","4"
"39.8","4"
"39.85","410"
"39.9","410"
"39.95","553"
"40","553"
"40.05","584"
"40.1","584"
"40.15","785"
"40.2","785"
"40.25","261"
"40.3","261"
"40.35","456"
"40.4","456"
"40.45","767"
"40.5","767"
"40.55","137"
"40.6","137"
"40.65","796"
"40.7","796"
"40.75","188"
"40.8","188"
"40.85","617"
"40.9","617"
"40.95","251"
"41","251"
"41.05","726"
"41.1","726"
"41.15","725"
"41.2","725"
"41.25","125"
"41.3","125"
"41.35","759"
"41.4","759"
"41.45","293"
"41.5","293"
"41.55","472"
"41.6","472"
"41.65","680"
"41.7","680"
"41.75","789"
"41.8","789"
"41.85","66"
"41.9","66"
"41.95","27"
"42","27"
"42.05","558"
"42.1","558"
"42.15","32"
"42.2","32"
"42.25","454"
"42.3","454"
"42.35","274"
"42.4","274"
"42.45","159"
"42.5","159"
"42.55","615"
"42.6","615"
"42.65","509"
"42.7","509"
"42.75","9"
"42.8","9"
"42.85","360"
"42.9","360"
"42.95","566"
"43","566"
"43.05","374"
"43.1","374"
"43.15","198"
"43.2","198"
"43.25","660"
"43.3","660"
"43.35","660"
"43.4","660"
"43.45","522"
"43.5","522"
"43.55","172"
"43.6","172"
"43.65","241"
"43.7","241"
"43.75","363"
"43.8","363"
"43.85","552"
"43.9","552"
"43.95","29"
"44","29"
"44.05","656"
"44.1","656"
"44.15","384"
"44.2","384"
"44.25","785"
"44.3","785"
"44.35","479"
"44.4","479"
"44.45","419"
"44.5","419"
"44.55","218"
"44.6","218"
"44.65","715"
"44.7","715"
"44.75","272"
"44.8","272"
"44.85","771"
"44.9","771"
"44.95","558"
"45","558"
"45.05","608"
"45.1","608"
"45.15","610"
"45.2","610"
"45.25","510"
"45.3","510"
"45.35","684"
"45.4","684"
"45.45","624"
"45.5","624"
"45.55","424"
"45.6","424"
"45.65","203"
"45.7","203"
"45.75","51"
"45.8","51"
"45.85","756"
"45.9","756"
"45.95","274"
"46","274"
"46.05","181"
"46.1","181"
"46.15","676"
"46.2","676"
"46.25","595"
"46.3","595"
"46.35","231"
"46.4","231"
"46.45","187"
"46.5","187"
"46.55","153"
"46.6","153"
"46.65","375"
"46.7","375"
"46.75","290"
"46.8","290"
"46.85","239"
"46.9","239"
"46.95","205"
"47","205"
"47.05","359"
"47.1","359"
"47.15","374"
"47.2","374"
"47.25","221"
"47.3","221"
"47.35","17"
"47.4","17"
"47.45","732"
"47.5","732"
"47.55","510"
"47.6","510"
"47.65","336"
"47.7","336"
"47.75","319"
"47.8","319"
"47.85","10"
"47.9","10"
"47.95","153"
"48","153"
"48.05","414"
"48.1","414"
"48.15","595"
"48.2","595"
"48.25","560"
"48.3","560"
"48.35","368"
"48.4","368"
"48.45","399"
"48.5","399"
"48.55","158"
"48.6","158"
"48.65","507"
"48.7","507"
"48.75","189"
"48.8","189"
"48.85","417"
"48.9","417"
"48.95","565"
"49","565"
"49.05","438"
"49.1","438"
"49.15","246"
"49.2","246"
"49.25","664"
"49.3","664"
"49.35","416"
"49.4","416"
"49.45","673"
"49.5","673"
"49.55","788"
"49.6","788"
"49.65","284"
"49.7","284"
"49.75","311"
"49.8","311"
"49.85","38"
"49.9","38"
"49.95","727"
"50","727"
"50.05","428"
"50.1","428"
"50.15","723"
"50.2","723"
"50.25","759"
"50.3","759"
"50.35","733"
"50.4","733"
"50.45","69"
"50.5","69"
"50.55","707"
"50.6","707"
"50.65","680"
"50.7","680"
"50.75","786"
"50.8","786"
"50.85","227"
"50.9","227"
"50.95","346"
"51","346"
"51.05","42"
"51.1","42"
"51.15","708"
"51.2","708"
"51.25","236"
"51.3","236"
"51.35","787"
"51.4","787"
"51.45","387"
"51.5","387"
"51.55","159"
"51.6","159"
"51.65","282"
"51.7","282"
"51.75","604"
"51.8","604"
"51.85","56"
"51.9","56"
"51.95","304"
"52","304"
"52.05","157"
"52.1","157"
"52.15","633"
"52.2","633"
"52.25","732"
"52.3","732"
"52.35","55"
"52.4","55"
"52.45","590"
"52.5","590"
"52.55","364"
"52.6","364"
"52.65","382"
"52.7","382"
"52.75","55"
"52.8","55"
"52.85","274"
"52.9","274"
"52.95","589"
"53","589"
"53.05","341"
"53.1","341"
"53.15","307"
"53.2","307"
"53.25","432"
"53.3","432"
"53.35","419"
"53.4","419"
"53.45","618"
"53.5","618"
"53.55","557"
"53.6","557"
"53.65","679"
"53.7","679"
"53.75","349"
"53.8","349"
"53.85","626"
"53.9","626"
"53.95","11"
"54","11"
"54.05","763"
"54.1","763"
"54.15","578"
"54.2","578"
"54.25","710"
"54.3","710"
"54.35","769"
"54.4","769"
"54.45","135"
"54.5","135"
"54.55","250"
"54.6","250"
"54.65","599"
"54.7","599"
"54.75","410"
"54.8","410"
"54.85","500"
"54.9","500"
"54.95","51"
"55","51"
"55.05","597"
"55.1","597"
"55.15","597"
"55.2","597"
"55.25","203"
"55.3","203"
"55.35","580"
"55.4","580"
"55.45","218"
"55.5","218"
"55.55","376"
"55.6","376"
"55.65","197"
"55.7","197"
"55.75","14"
"55.8","14"
"55.85","125"
"55.9","125"
"55.95","742"
"56","742"
"56.05","429"
"56.1","429"
"56.15","23"
"56.2","23"
"56.25","162"
"56.3","162"
"56.35","709"
"56.4","709"
"56.45","44"
"56.5","44"
"56.55","703"
"56.6","703"
"56.65","575"
"56.7","575"
"56.75","584"
"56.8","584"
"56.85","490"
"56.9","490"
"56.95","242"
"57","242"
"57.05","469"
"57.1","469"
"57.15","299"
"57.2","299"
"57.25","368"
"57.3","368"
"57.35","120"
"57.4","120"
"57.45","44"
"57.5","44"
"57.55","236"
"57.6","236"
"57.65","87"
"57.7","87"
"57.75","356"
"57.8","356"
"57.85","601"
"57.9","601"
"57.95","194"
"58","194"
"58.05","527"
"58.1","527"
"58.15","423"
"58.2","423"
"58.25","423"
"58.3","423"
"58.35","71"
"58.4","71"
"58.45","728"
"58.5","728"
"58.55","526"
"58.6","526"
"58.65","281"
"58.7","281"
"58.75","268"
"58.8","268"
"58.85","193"
"58.9","193"
"58.95","450"
"59","450"
"59.05","564"
"59.1","564"
"59.15","302"
"59.2","302"
"59.25","794"
"59.3","794"
"59.35","395"
"59.4","395"
"59.45","84"
"59.5","84"
"59.55","742"
"59.6","742"
"59.65","147"
"59.7","147"
"59.75","246"
"59.8","246"
"59.85","581"
"59.9","581"
"59.95","692"
"60","692"
"60.05","598"
"60.1","598"
"60.15","492"
"60.2","492"
"60.25","395"
"60.3","395"
"60.35","564"
"60.4","564"
"60.45","526"
"60.5","526"
"60.55","750"
"60.6","750"
"60.65","51"
"60.7","51"
"60.75","552"
"60.8","552"
"60.85","448"
"60.9","448"
"60.95","259"
"61","259"
"61.05","570"
"61.1","570"
"61.15","714"
"61.2","714"
"61.25","787"
"61.3","787"
"61.35","519"
"61.4","519"
"61.45","796"
"61.5","796"
"61.55","626"
"61.6","626"
"61.65","327"
"61.7","327"
"61.75","490"
"61.8","490"
"61.85","507"
"61.9","507"
"61.95","346"
"62","346"
"62.05","636"
"62.1","636"
"62.15","674"
"62.2","674"
"62.25","449"
"62.3","449"
"62.35","512"
"62.4","512"
"62.45","171"
"62.5","171"
"62.55","196"
"62.6","196"
"62.65","748"
"62.7","748"
"62.75","429"
"62.8","429"
"62.85","745"
"62.9","745"
"62.95","476"
"63","476"
"63.05","367"
"63.1","367"
"63.15","313"
"63.2","313"
"63.25","712"
"63.3","712"
"63.35","296"
"63.4","296"
"63.45","443"
"63.5","443"
"63.55","738"
"63.6","738"
"63.65","179"
"63.7","179"
"63.75","580"
"63.8","580"
"63.85","317"
"63.9","317"
"63.95","704"
"64","704"
"64.05","153"
"64.1","153"
"64.15","301"
"64.2","301"
"64.25","706"
"64.3","706"
"64.35","705"
"64.4","705"
"64.45","222"
"64.5","222"
"64.55","259"
"64.6","259"
"64.65","57"
"64.7","57"
"64.75","536"
"64.8","536"
"64.85","421"
"64.9","421"
"64.95","76"
"65","76"
"65.05","523"
"65.1","523"
"65.15","2"
"65.2","2"
"65.25","694"
"65.3","694"
"65.35","694"
"65.4","694"
"65.45","750"
"65.5","750"
"65.55","201"
"65.6","201"
"65.65","687"
"65.7","687"
"65.75","696"
"65.8","696"
"65.85","56"
"65.9","56"
"65.95","111"
"66","111"
"66.05","597"
"66.1","597"
"66.15","301"
"66.2","301"
"66.25","366"
"66.3","366"
"66.35","781"
"66.4","781"
"66.45","232"
"66.5","232"
"66.55","159"
"66.6","159"
"66.65","526"
"66.7","526"
"66.75","46"
"66.8","46"
"66.85","73"
"66.9","73"
"66.95","261"
"67","261"
"67.05","516"
"67.1","516"
"67.15","58"
"67.2","58"
"67.25","763"
"67.3","763"
"67.35","754"
"67.4","754"
"67.45","755"
"67.5","755"
"67.55","415"
"67.6","415"
"67.65","57"
"67.7","57"
"67.75","493"
"67.8","493"
"67.85","366"
"67.9","366"
"67.95","459"
"68","459"
"68.05","123"
"68.1","123"
"68.15","618"
"68.2","618"
"68.25","749"
"68.3","749"
"68.35","96"
"68.4","96"
"68.45","736"
"68.5","736"
"68.55","14"
"68.6","14"
"68.65","417"
"68.7","417"
"68.75","259"
"68.8","259"
"68.85","734"
"68.9","734"
"68.95","375"
"69","375"
"69.05","799"
"69.1","799"
"69.15","510"
"69.2","510"
"69.25","493"
"69.3","493"
"69.35","543"
"69.4","543"
"69.45","456"
"69.5","456"
"69.55","276"
"69.6","276"
"69.65","344"
"69.7","344"
"69.75","133"
"69.8","133"
"69.85","268"
"69.9","268"
"69.95","504"
"70","504"
"70.05","645"
"70.1","645"
"70.15","761"
"70.2","761"
"70.25","760"
"70.3","760"
"70.35","723"
"70.4","723"
"70.45","180"
"70.5","180"
"70.55","262"
"70.6","262"
"70.65","126"
"70.7","126"
"70.75","730"
"70.8","730"
"70.85","315"
"70.9","315"
"70.95","80"
"71","80"
"71.05","654"
"71.1","654"
"71.15","177"
"71.2","177"
"71.25","71"
"71.3","71"
"71.35","209"
"71.4","209"
"71.45","563"
"71.5","563"
"71.55","403"
"71.6","403"
"71.65","508"
"71.7","508"
"71.75","744"
"71.8","744"
"71.85","425"
"71.9","425"
"71.95","70"
"72","70"
"72.05","78"
"72.1","78"
"72.15","408"
"72.2","408"
"72.25","423"
"72.3","423"
"72.35","349"
"72.4","349"
"72.45","571"
"72.5","571"
"72.55","527"
"72.6","527"
"72.65","424"
"72.7","424"
"72.75","779"
"72.8","779"
"72.85","665"
"72.9","665"
"72.95","779"
"73","779"
"73.05","223"
"73.1","223"
"73.15","619"
"73.2","619"
"73.25","305"
"73.3","305"
"73.35","726"
"73.4","726"
"73.45","107"
"73.5","107"
"73.55","18"
"73.6","18"
"73.65","671"
"73.7","671"
"73.75","419"
"73.8","419"
"73.85","779"
"73.9","779"
"73.95","294"
"74","294"
"74.05","583"
"74.1","583"
"74.15","65"
"74.2","65"
"74.25","353"
"74.3","353"
"74.35","695"
"74.4","695"
"74.45","768"
"74.5","768"
"74.55","64"
"74.6","64"
"74.65","552"
"74.7","552"
"74.75","552"
"74.8","552"
"74.85","317"
"74.9","317"
"74.95","90"
"75","90"
"75.05","132"
"75.1","132"
"75.15","657"
"75.2","657"
"75.25","207"
"75.3","207"
"75.35","34"
"75.4","34"
"75.45","633"
"75.5","633"
"75.55","249"
"75.6","249"
"75.65","349"
"75.7","349"
"75.75","280"
"75.8","280"
"75.85","23"
"75.9","23"
"75.95","638"
"76","638"
"76.05","574"
"76.1","574"
"76.15","67"
"76.2","67"
"76.25","654"
"76.3","654"
"76.35","600"
"76.4","600"
"76.45","155"
"76.5","155"
"76.55","377"
"76.6","377"
"76.65","149"
"76.7","149"
"76.75","674"
"76.8","674"
"76.85","391"
"76.9","391"
"76.95","85"
"77","85"
"77.05","409"
"77.1","409"
"77.15","458"
"77.2","458"
"77.25","515"
"77.3","515"
"77.35","744"
"77.4","744"
"77.45","640"
"77.5","640"
"77.55","6"
"77.6","6"
"77.65","154"
"77.7","154"
"77.75","379"
"77.8","379"
"77.85","447"
"77.9","447"
"77.95","459"
"78","459"
"78.05","652"
"78.1","652"
"78.15","735"
"78.2","735"
"78.25","115"
"78.3","115"
"78.35","188"
"78.4","188"
"78.45","234"
"78.5","234"
"78.55","420"
"78.6","420"
"78.65","497"
"78.7","497"
"78.75","499"
"78.8","499"
"78.85","534"
"78.9","534"
"78.95","300"
"79","300"
"79.05","127"
"79.1","127"
"79.15","553"
"79.2","553"
"79.25","436"
"79.3","436"
"79.35","119"
"79.4","119"
"79.45","685"
"79.5","685"
"79.55","2"
"79.6","2"
"79.65","393"
"79.7","393"
"79.75","712"
"79.8","712"
"79.85","487"
"79.9","487"
"79.95","89"
"80","89"
"80.05","136"
"80.1","136"
"80.15","88"
"80.2","88"
"80.25","488"
"80.3","488"
"80.35","87"
"80.4","87"
"80.45","552"
"80.5","552"
"80.55","290"
"80.6","290"
"80.65","588"
"80.7","588"
"80.75","668"
"80.8","668"
"80.85","285"
"80.9","285"
"80.95","739"
"81","739"
"81.05","794"
"81.1","794"
"81.15","126"
"81.2","126"
"81.25","419"
"81.3","419"
"81.35","534"
"81.4","534"
"81.45","96"
"81.5","96"
"81.55","739"
"81.6","739"
"81.65","528"
"81.7","528"
"81.75","258"
"81.8","258"
"81.85","56"
"81.9","56"
"81.95","743"
"82","743"
"82.05","670"
"82.1","670"
"82.15","592"
"82.2","592"
"82.25","687"
"82.3","687"
"82.35","491"
"82.4","491"
"82.45","491"
"82.5","491"
"82.55","118"
"82.6","118"
"82.65","347"
"82.7","347"
"82.75","347"
"82.8","347"
"82.85","365"
"82.9","365"
"82.95","241"
"83","241"
"83.05","251"
"83.1","251"
"83.15","266"
"83.2","266"
"83.25","437"
"83.3","437"
"83.35","68"
"83.4","68"
"83.45","498"
"83.5","498"
"83.55","595"
"83.6","595"
"83.65","4"
"83.7","4"
"83.75","451"
"83.8","451"
"83.85","485"
"83.9","485"
"83.95","389"
"84","389"
"84.05","618"
"84.1","618"
"84.15","262"
"84.2","262"
"84.25","474"
"84.3","474"
"84.35","290"
"84.4","290"
"84.45","290"
"84.5","290"
"84.55","538"
"84.6","538"
"84.65","251"
"84.7","251"
"84.75","771"
"84.8","771"
"84.85","615"
"84.9","615"
"84.95","797"
"85","797"
"85.05","491"
"85.1","491"
"85.15","626"
"85.2","626"
"85.25","212"
"85.3","212"
"85.35","32"
"85.4","32"
"85.45","481"
"85.5","481"
"85.55","91"
"85.6","91"
"85.65","218"
"85.7","218"
"85.75","208"
"85.8","208"
"85.85","494"
"85.9","494"
"85.95","796"
"86","796"
"86.05","651"
"86.1","651"
"86.15","317"
"86.2","317"
"86.25","550"
"86.3","550"
"86.35","404"
"86.4","404"
"86.45","207"
"86.5","207"
"86.55","122"
"86.6","122"
"86.65","86"
"86.7","86"
"86.75","1"
"86.8","1"
"86.85","95"
"86.9","95"
"86.95","439"
"87","439"
"87.05","255"
"87.1","255"
"87.15","444"
"87.2","444"
"87.25","495"
"87.3","495"
"87.35","684"
"87.4","684"
"87.45","443"
"87.5","443"
"87.55","262"
"87.6","262"
"87.65","684"
"87.7","684"
"87.75","493"
"87.8","493"
"87.85","780"
"87.9","780"
"87.95","547"
"88","547"
"88.05","700"
"88.1","700"
"88.15","405"
"88.2","405"
"88.25","729"
"88.3","729"
"88.35","682"
